Entrez_Gene_ID	Gene_Name
56413	LTB4R2
4261	CIITA
54209	TREM2
332	BIRC5
2151	F2RL2
578	BAK1
89790	SIGLEC10
1470	CST2
245909	DEFB106A
4792	NFKBIA
23495	TNFRSF13B
3678	ITGA5
1003	CDH5
629	CFB
5819	PVRL2
5052	PRDX1
2220	FCN2
3431	SP110
10392	NOD1
977	CD151
6279	S100A8
729230	CCR2
51338	MS4A4A
26279	PLA2G2D
2217	FCGRT
311	ANXA11
30009	TBX21
7850	IL1R2
9466	IL27RA
910	CD1B
8288	EPX
8605	PLA2G4C
961	CD47
3823	KLRC3
3725	JUN
9625	AATK
729	C6
4843	NOS2
3078	CFHR1
727897	MUC5B
974	CD79B
567	B2M
4914	NTRK1
5473	PPBP
10140	TOB1
2923	PDIA3
2526	FUT4
81793	TLR10
8835	SOCS2
923	CD6
4775	NFATC3
2056	EPO
3112	HLA-DOB
27306	HPGDS
10280	SIGMAR1
5709	PSMD3
5970	RELA
5724	PTAFR
140881	DEFB129
8477	GPR65
3665	IRF7
5150	PDE7A
5371	PML
5742	PTGS1
145864	HAPLN3
5580	PRKCD
6367	CCL22
8263	F8A1
5054	SERPINE1
8698	S1PR4
10020	GNE
10225	CD96
2207	FCER1G
4162	MCAM
3809	KIR2DS4
